,PII,SMT,APL,MAT,PRO,DSC,CMT,SPL
10,S0008884600002076,[],[],"['concrete', 'aggregate']",[],"['interface', 'paste']","['breakdown voltage test', 'critical voltage of concrete', 'CVC']",[]
11,S0008884600002088,['granulated blast furnace slag'],[],"['cement', 'cement', 'cement', 'cement']","['activity', 'fineness']",['powder'],[],[]
12,S000888460000209X,"['phosphoric acid manufacture', 'washing', 'chemical treatments', 'heated', 'heating', 'setting', 'hardening', 'hydration']","['cement', 'building']","['phosphogypsum', 'Phosphogypsum', 'calcium sulfate', 'phosphogypsum', 'phosphogypsum', 'anhydrite', 'anhydrite cement', 'anhydrite', 'phosphogypsum', 'anhydrite cement', 'gypsum', 'anhydrite', 'anhydrite cement', 'phosphogypsum']","['hydration characteristics', 'strength', 'chemically combined water', 'strength']","['powder', 'crystals']","['microscopy', 'X-ray diffraction', 'Microscopic studies']",['rhombic']
13,S0008884600002106,['coated'],['concrete'],"['gravel', 'dolomite', 'silica fume', 'gravel concrete', 'silica fume', 'sand', 'cement', 'silica fume', 'dolomite', 'silica fume', 'aggregate', 'cement', 'concrete', 'Concrete', 'cement', 'concretes', 'aggregate', 'cement paste']","['interfacial transition zone', 'ITZ', 'Fracture toughness', 'fracture parameters', 'K Ic S', 'CTODC', 'Fracture Mechanics', 'stress intensity factors', 'K Ic', 'crack tip opening displacement', 'CTODc', 'adhesion', 'critical stress intensity factor', 'K Ic', 'critical crack tip opening displacement', 'CTODc', 'mechanical properties', 'fracture mechanics parameters', 'structure', 'transition zone']","['concretes', 'aggregates', 'concretes', 'concretes', 'paste interface', 'layer']","['three - point bend tests', 'FMT']",[]
14,S0008884600002118,[],['frequency - switchable fiber coating'],"['cement', 'oxide']","['impedance response', 'conductive', 'conducting', 'resistive', 'capacitive', 'polarization', 'conducting', 'insulate', 'conducting', 'insulating', 'conducting', 'microstructure', 'Spreading resistance', 'high frequency behavior', 'DC', 'high frequency behavior']","['fiber - reinforced', 'bulk', 'fiber', 'bulk', 'fibers', 'layers', 'film', 'double layers', 'surfaces', 'fibers', 'layers', 'fibers', 'fibers', 'fibers', 'layers', 'fibers', 'fibers']","['Nyquist plots', 'equivalent circuit model']",[]
15,S000888460000212X,[],[],"['steel', 'concrete', 'SFRC', 'concrete']","['toughness', 'strengths', 'toughness factor', 'fiber - reinforcing index', 'toughness factor']",['fiber - reinforced'],"['Japan Society of Civil Engineers', 'JSCE', 'JSCE approach']",[]
16,S0008884600002131,"['selective dissolution method', 'curing', 'hydration']",[],"['fly ash', 'concrete', 'cement', 'fly ash', 'cement', 'FC', 'cement', 'Portland cement', 'PC', 'fly ash', 'FC', 'cement', 'cement', 'FC', 'fly ash', 'fly ash', 'fly ash', 'fly ash', 'cement', 'fly ash', 'fly ash concrete', 'cement', 'FC', 'PC']","['degree of hydration', 'non-evaporable water', 'Wn', 'water - to - cement ( w / c ) ratio', 'w / c ratio', 'water - to - binder ( w / b ) ratios', 'w / b ratios', 'strength', 'w / c ratio', 'gel / space ratio', 'gel / space ratios', 'gel / space ratio', 'compressive strength', 'gel / space ratio', 'mercury intruded porosity', 'compressive strength']","['paste', 'pastes', 'pastes', 'pastes', 'pastes', 'pastes', 'paste', 'pastes', 'pastes', 'pastes']",[],[]
17,S0008884600002143,['curing'],[],"['lime - pozzolan cement', 'lime - natural pozzolan', 'calcium silicate hydrate', 'C-S-H', 'C4AH13', 'Na2SO4', 'lime - natural pozzolan', 'AFt', 'C4AH13', 'CaCl2.2H2O', 'lime - pozzolan', 'C3A.Ca(OH)2.12H2O-C3A.CaCl2.10H2O', 'CaCl2', 'AFm', 'Na2SO4']","['strength', 'pH']","['pastes', 'pastes', 'paste', 'paste', 'pastes', 'pastes', 'solid solution', 'pastes', 'pastes', 'pastes']","['X-ray diffraction', 'XRD']",[]
18,S0008884600002155,['granulated blast - furnace slag'],[],"['GBFS', 'cement', 'mortar', 'concrete', 'concrete', 'mortar', 'concrete']","['compressive strength', 'workability', 'magnetic strength', 'water - to - binder ratio', 'W / B', 'compressive strength', 'compressive strength', 'compressive strength', 'magnetic strength', 'fluidity', 'slump']","['mortar', 'concrete']",[],[]
19,S0008884600002167,[],[],"['steel', 'concrete', 'concrete', 'concrete', 'cr', 'concrete', 'steel', 'concrete', 'steel', 'concrete']","['surface crack width', 'crack width', 'cover ratio', 'W cr / C', 'durability performance', 'chloride threshold level', 'C / W', 'threshold level', 'W cr / C', 'W cr / C', 'chloride threshold level', 'crack width', 'serviceability', 'durability', 'crack width', 'W cr / C', 'W cr / C', 'chloride diffusivity', 'apparent chloride diffusion coefficient', 'D a', 'D a', 'porosity', 'D a']",[],[],[]
20,S0008884600002179,"['curing', 'curing', 'air curing', 'moist curing', 'moist curing', 'cured']",[],"['concretes', 'limestone', 'cements', 'concrete', 'portland', 'limestone', 'cements', 'concrete', 'limestone', 'cement', 'limestone', 'clinker', 'cement', 'limestone', 'cements', 'limestone', 'concretes', 'cements', 'limestone']","['mechanical properties', 'compressive strength', 'tensile strength', 'modulus of elasticity', 'chloride penetration', 'water / cementitious', 'mechanical properties', 'fineness', 'mechanical properties', 'mechanical properties', 'chloride penetration resistance']",['blended'],[],[]
21,S0008884600002180,"['grinding', 'cured', 'curing', 'curing', 'cured', 'curing', 'curing', 'curing', 'curing', 'curing', 'curing', 'cured']",[],"['fly ash', 'fly ash', 'cement', 'fly ash', 'fly ash', 'fly ashes', 'fly ashes', 'GFA', 'fly ash', 'T0', 'fly ashes']","['strength', 'compressive strength', 'R c', 'R c', 'reactivity', 'R c', 'pozzolanic activity', 'R c', 'strength', 'compressive', 'R c', 'flexural', 'R f ) strength', 'mechanical properties']","['mortars', 'mortars', 'mortars', 'mortars', 'mortars']","['regression analysis', 'regression analysis']",[]
22,S0008884600002192,"['biogenic sulfuric acid corrosion', 'chemical sulfuric acid corrosion']","['Biogenic sulfuric acid corrosion', 'sewer environment', 'Mechanical engineers', 'biogenic sulfuric acid corrosion', 'sulfuric acid corrosion', 'biogenic sulfuric acid corrosion']","['concrete', 'concrete', 'concrete']","['resistance', 'resistance']",[],"['chemical tests', 'microbial simulation tests', 'exposure tests']",[]
23,S0008884600002209,"['water electrolysis', 'chloride extraction']",[],['concrete'],"['hydroxyl ion concentration', 'diffusion coefficient', 'diffusion coefficient', 'electrical charge passed', 'chloride profile']",[],[],[]
24,S0008884600002210,['coated'],"['corrosion inhibitive filming', 'coating']","['steel', 'steel', 'steel', 'concrete', 'DCHAMN']","['inhibiting behavior', 'inhibiting efficiencies', 'IE']","['mortars', 'rods']","['Electrochemical Impedance Spectroscopy', 'EIS']",[]
25,S0008884600002222,[],[],['cement'],"['electrical resistivity', 'interfacial transition zone', 'ITZ', 'water - to - cement ( W / C )', 'sand - to - cement ( S / C ) ratios', 'ITZ', 'W / C ratio', 'S / C ratio', 'interfacial zone', 'W / C ratio', 'W / C ratio', 'water layer thickness']","['mortars', 'mortars', 'mortars', 'mortars', 'paste interfaces']","['AC impedance spectroscopy', 'electrical conductivity models']",[]
26,S0008884600002234,['vibrated'],[],"['concrete', 'concrete', 'concrete', 'concrete']","['rheological properties', 'rheology', 'aggregate settlement', 'density']",['aggregate'],"['nuclear medicine techniques', 'rheological model']",[]
27,S0008884600002258,[],[],"['fly ash', 'slag', 'fly ash']","['chemical composition', 'physical characteristics', 'BET surface area', 'mean particle size', 'isotherm constants']",[],"['XRF', 'XRD', 'Frumkin isotherm', 'adsorption isotherms']",[]
28,S000888460000226X,[],[],"['concrete', 'concrete', 'concrete', 'concrete', 'concrete', 'concrete']","['strength', 'strength', 'strengths']",[],"['nondestructive testing', 'rebound hammer', 'ultrasonic pulse velocity tests']",[]
29,S0008884600002271,"['carbonation', 'carbonation', 'carbonation process', 'carbonation', 'curing', 'HVFA', 'HVFA']","['high - volume fly ash', 'structural']","['concrete', 'HVFA', 'concrete', 'ordinary Portland cement', 'OPC', 'HVFA', 'cement', 'HVFA concrete', 'concrete', 'concrete', 'concrete']","['carbonation depth', 'water / binder ratio', 'carbonation behavior', 'carbonation behavior', 'carbonation depth']","['concrete', 'concrete']",['carbonation test'],[]
30,S0008884600002283,[],"['brick masonry', 'masonry panels']","['brick', 'mortar', 'brick', 'mortar', 'bricks', 'mortar']","['mode I fracture', 'fracture', 'Fracture properties', 'fracture']",['joints'],"['micromechanical model', 'fictitious', 'cohesive ) crack model', 'composite fracture model']",[]
31,S0008884600002295,['curing'],"['construction', 'pozzolanic cement', 'Portland cement']","['concrete', 'cement', 'cements', 'cement', 'KC 32.5', 'TC 32.5', 'PC 42.5', 'concrete', 'cement', 'cement', 'concrete', 'concrete', 'cement', 'KC', 'TC', 'PC 42.5', 'concrete', 'cement', 'concrete', 'KC 32.5', 'concrete', 'TC 32.5', 'PC 42.5 cements']","['compressive strength', 'composition', 'workability', 'slump', 'compressive strengths', 'compressive strength', 'strength', 'strength', 'strength']",[],[],[]
32,S0008884600002301,"['polished', 'cured']",[],"['cement', 'calcium hydroxide', 'CH', 'cement', 'granite', 'cement', 'CH', 'CH', 'cement']","['microstrain distribution', 'interfacial transition zone', 'ITZ', 'penetration depth', 'ITZ', 'microstrain']","['paste', 'paste', 'substrate', 'composite', 'substrate', 'paste interface', 'crystallites', 'paste interface']",['X-ray diffraction'],[]
33,S0008884600002313,"['hydration', 'hydration']",[],"['Cement', 'cement', 'Portland cement']","['kinetic parameters', 'kinetic parameters']",[],"['microcalorimetrical method', 'thermokinetic analysis']",['clinker']
34,S0008884600002349,"['hardened', 'hardened', 'hardened', 'hardened']","['cementing materials', 'alkali - activated blast furnace slag cement', 'cementing', 'cementing']","['Portland cement', 'PC', 'ASC', 'lime - fly ash', 'LFA', 'high alumina cement', 'gypsum', 'lime', 'HAC', 'PC', 'ASC', 'LFA', 'HAC', 'PC', 'ASC', 'LFA', 'calcium silicate hydrate', 'C-S-H', 'ASC', 'LFA', 'C-S-H', 'Ca(OH)2', 'PC', 'Ca(OH)2', 'C-S-H', 'high alumina cement', 'gypsum', 'lime', 'ettringite']","['porous', 'porous', 'porosity', 'C / S ratio', 'C / S ratio']","['pastes', 'pastes', 'pastes', 'pastes', 'pastes', 'pastes', 'pastes', 'pastes']",[],[]
35,S0008884600002350,[],[],"['silica', 'portlandite', 'calcium silicate hydrate', 'C-S-H']","['morphology', 'morphology', 'morphology']","['particles', 'dendrites', 'dendrites', 'single crystalline']","['transmission soft X-ray microscopy', 'X-ray images']",[]
36,S0008884600002362,[],[],"['blast furnace slag', 'BFS', 'silica fume', 'SF', 'fly ash', 'FA', 'limestone', 'LS', 'gypsum', 'AG', 'cement', 'cement', 'LS', 'SF', 'FA', 'cement', 'AG', 'cement', 'LS', 'SF', 'FA', 'slag', 'LS', 'SF', 'FA', 'cement', 'AG']","['rheological property', 'yield stress', 'viscosity', 'viscosity', 'viscosity', 'yield stress', 'viscosity', 'yield stress', 'viscosity', 'yield stress']","['paste', 'paste', 'paste', 'paste', 'paste']",[],[]
37,S0008884600002386,[],[],"['concrete', 'carbon']","['resistance', 'resistance']","['interface', 'substrate', 'fiber epoxy-matrix composite retrofit']",['DC electrical resistance measurement'],[]
38,S0008884600002398,[],[],"['cementitious', 'cement', 'cement', 'cement']","['geometrical characteristics', 'Geometrical characteristics', 'strain hardening behavior', 'modulus', 'efficiency', 'modulus']","['composite', 'fibers', 'composites', 'paste', 'mortar', 'bulk', 'composites', 'yarn', 'woven', 'yarn fabrics', 'yarn', 'yarn', 'composites', 'yarns']",[],[]
39,S0008884600002404,[],[],"['concrete', 'cement', 'cement', 'aggregate', 'aggregate']","['interfacial transition zone', 'ITZ', 'mechanical behavior', 'ITZ', 'ITZ', 'response', 'aggregate volume fraction', 'tensile stresses', 'microcracks', 'ITZ', 'stresses', 'displacements']","['paste', 'aggregates', 'paste', 'composite']","['elastic two - dimensional models', 'finite element method']",[]
40,S0008884600002416,"['casting', 'hardened', 'heat of cement hydration']",[],"['concrete', 'concrete', 'mortar', 'mortar', 'cement']","['Shrinkage', 'settlement', 'thermal deformations', 'free deformations', 'thermal', 'volume change', 'water / cement', 'W / C', 'thermal expansion', 'contraction', 'autogenous shrinkage', 'shrinkage amplitudes']",['mortar'],[],[]
41,S000888460000243X,"['drying', 'curing']","['Alkali - activated slag concrete', 'Portland cement concrete']","['AASC', 'OPCC', 'AASC', 'AASC', 'OPCC', 'AASC', 'AASC']","['drying shrinkage', 'cracking tendency', 'elastic modulus', 'creep', 'tensile strength', 'cracking tendency', 'cracking tendency', 'aggregate', 'cracking tendency']",[],"['restrained ring tests', 'restrained beam test']",[]
42,S0008884600002441,"['dried', 'resin impregnated', 'polished']",[],"['concrete', 'thaumasite', 'ettringite', 'concrete', 'thaumasite', 'concrete', 'ettringite', 'thaumasite', 'thaumasite', 'ettringite', 'thaumasite', 'ettringite', 'concrete', 'ettringite', 'thaumasite', 'thaumasite', 'ettringite', 'ettringite', 'thaumasite', 'thaumasite', 'ettringite', 'thaumasite', 'thaumasite', 'ettringite']","['sulfate attack', 'thaumasite sulfate attack', 'd-spacings']",[],"['Optical microscopy', 'X-ray diffraction', 'XRD', 'optical microscopy', 'XRD', 'XRD', 'backscattered electron imaging', 'X-ray microanalysis', 'low vacuum SEM']",['thaumasite']
43,S0008884600002453,[],"['mortar', 'GB']","['C3A cement', 'brick', 'GB', 'GB', 'mortar', 'cement', 'GB', 'GB', 'cement', 'GB', 'GB', 'GB']","['strength', 'strength', 'resistance', 'chemical', 'phase compositions', 'Sulfate content', 'glass content', 'oxide chemistry']","['mortar', 'mortars']",[],[]
44,S0008884600002489,[],"['cements', 'cements']","['concrete', 'cement', 'concrete', 'cement', 'concrete', 'Ca', 'Sr', 'Mn', 'strontium', 'limestones']","['geochemical fingerprints', 'geological ages']",[],"['chemical', 'strontium isotopic analysis']",[]
45,S0008884600002490,[],[],"['concrete', 'concrete', 'concrete', 'concrete', 'concrete']","['3-D fracture surfaces', 'fracture surface', 'fractal dimension', 'fracture surfaces', 'roughness', 'fractal feature', 'fracture surface', 'roughness parameter R s', 'surface area', 'fracture surface area', 'fracture area', 'fractal dimension', 'fracture surface', 'fractal', 'fractal dimension', 'fracture parameters', 'failure mechanisms']",['surface'],"['laser triangulation', 'slit - island technique', 'vertical section analysis']",[]
46,S0008884600002507,"['blast furnace slag', 'blast furnace slag', 'blast furnace slag']",['high - performance concrete'],"['HPC', 'HPC', 'fly ash', 'fly ash', 'fly ash']","['diffusion coefficient of chloride ions', 'resistance to chloride ion', 'diffusion coefficient', 'water - binder ratio', 'diffusion coefficient', 'water - binder ratio', 'resistance to chloride ions', 'diffusion coefficients']","['concrete', 'concrete']",['Nernst - Einstein equation'],[]
47,S0008884600002519,['cured'],['mortars'],"['silica fume', 'silica fume', 'silica fume', 'cement']","['strength', 'microstructure', 'volume stability', 'microcracks', 'crack patterns', 'strength', 'water / binder ratio', 'internal expansive pressure', 'microcracks']","['mortars', 'Mortars', 'mortars', 'mortars']",[],[]
48,S0008884600002520,['curing'],[],"['fly ash', 'cement', 'concrete', 'fly ash', 'concrete', 'fly ash', 'fly ash', 'fly ash', 'cement', 'Ca(OH)2', 'fly ash', 'fly ash', 'C-S-H', 'zeolite', 'gypsum', 'ettringite']","['active mechanism', 'hydrates', 'microstructure', 'activation capability', 'glass structure']",[],"['thermal gravity analysis', 'TGA', 'X-ray', 'SEM']",[]
49,S0008884600002532,[],[],"['concrete', 'carbon', 'silts', 'clays', 'concrete', 'cement', 'concrete', 'cement', 'clay', 'cement', 'OPC', 'concrete']","['durability', 'compressive strength', 'workability', 'sorptivity', 'water permeability', 'durability', 'microstructure', 'workability', 'specific surface area', 'durable', 'water / cement ( w / c ) ratio']",['concrete'],"['X-ray diffraction', 'XRD', 'scanning electron microscopy', 'SEM', 'energy dispersive X-ray', 'EDX']",[]
50,S0008884600002544,"['alkali - activated', 'sodium silicate - activated']",['mortars'],"['cement', 'aggregate', 'mortar', 'concrete', 'cement', 'cement mortars', 'silica sand', 'OPC', 'silica sand', 'slag cement']","['interfacial transition zone', 'ITZ', 'mechanical', 'transport properties', 'porosity', 'microstructure', 'ITZ', 'ITZ']","['paste', 'aggregate particles', 'mortars']","['Backscattered electron ( BSE ) imaging', 'scanning electron', 'compositional contrast', 'BSE', 'energy dispersive X-ray', 'EDX', 'dot maps', 'BSE']",[]
51,S0008884600002556,['fluidized mortar'],[],"['steel', 'concrete', 'HPSFRC', 'steel', 'concrete', 'RHSC', 'RHSC', 'HPSFRC', 'HPSFRC', 'CZ']","['high - performance', 'high strength', 'smash failure', 'resistance', 'penetration performance', 'penetration depth']","['fiber - reinforced', 'fibers']","['dimensional analysis', 'simulation test']",[]
52,S0008884600002568,[],[],"['cement', 'cements', 'cements', 'cement', 'Na2SO4', 'calcium sulfate', 'cement', 'cement', 'cement']","['adsorption behavior', 'fluidity', 'adsorption capacity', 'mini-slump area', 'slump value', 'slump loss', 'slump area', 'W / C', 'dispersing mechanism', 'slump']","['paste', 'pastes', 'particles', 'pastes', 'pastes']",[],[]
53,S000888460000257X,[],[],"['calcium silicate hydrate', 'C-S-H', 'C-S-H', 'Portland cement', 'C-S-H', 'C-S-H']","['structure', 'density', 'nitrogen accessible gel porosity', 'surface area', 'density', 'microstructure']",['pastes'],['nitrogen sorption'],[]
54,S0008884600002581,"['masonry - plastered', 'hardened', 'polished']","['plaster coatings', 'paints', 'coating', 'graded filler', 'coating', 'coating', 'coating']","['lime wash', 'cement', 'marble', 'eggshell']","['water proofing', 'hydraulic', 'Mohs hardness', 'dimensional stability', 'hardness', 'mineralogy', 'morphology']","['surfaces', 'composite', 'powder', 'composite pastes', 'surfaces', 'surface', 'surface', 'wall plasters', 'surfaces']",[],[]
55,S0008884600002593,[],[],"['melamine - formaldehyde', 'MF', 'anhydrite', 'anhydrite', 'calcium', 'R-SO3Na', 'R-(SO3)2Ca', 'anhydrite']",[],"['polycondensates', 'surface']",[],[]
56,S000888460000260X,[],['alkali - activated red mud - slag cementitious material'],"['sodium phosphate', 'AARS', 'sodium phosphate', 'AARS']","['hydration heat', 'hydration reaction', 'retarding mechanism', 'composition']",[],"['microcalorimeter', 'X-ray diffraction', 'XRD', 'energy dispersive spectroscopy', 'EDS']",[]
57,S0008884600002611,"['hardened', 'water extraction', 'crushed', 'hardened', 'hardened', 'water extraction']",[],"['cement', 'Cement', 'Portland cement', 'KCl', 'silica fume', 'SF', 'cement', 'cement']","['solid - to - water ratio', 'fineness', 'fineness', 'chemical composition', 'composition', 'Cl- / OH- ratio', 'pore solution']","['pastes', 'pastes', 'paste', 'paste']",[],[]
58,S0008884600002623,"['burnt', 'muffle furnace', 'burning']",['cement clinker'],"['phosphogypsum', 'PG', 'oil shale', 'OS', 'fluorellestadite', 'Ca10(SiO4)3(SO4)3F2', 'akermanite', 'Ca2MgSi2O7', 'PG', 'OS', 'stone coal', 'SC', 'kaolinite clay', 'KC', 'belite', 'β-C2S', 'Portland cement', 'PC', 'PG', 'OS', 'SC', 'C', 'CaO', 'belite']",['mineralogical'],[],"['X-ray diffraction', 'XRD']",[]
59,S0008884600002635,"['cement hydration', 'hydration']",[],"['concrete', 'silica fume', 'Silica fume', 'concrete', 'C-S-H', 'C-S-H', 'cement', 'silica fume', 'silica fume', 'concrete', 'steel', 'concrete']","['chloride ion diffusivity', 'water - to - cement ( w / c', 'degree of hydration', 'aggregate volume fraction', 'diffusivity', 'microstructure', 'interfacial transition zone', 'ITZ', 'ITZ', 'capillary porosity', 'pozzolanic', 'relative diffusivity', 'diffusivity', 'w / c ratio', 'w / c', 'diffusivity', 'service life']","['bulk', 'gel', 'gel', 'concretes', 'reinforced']",[],[]
60,S0008884600002647,[],[],"['silica fume', 'cement', 'silica fume', 'calcium silicate hydrate', 'C-S-H', 'C-S-H', 'silica fume', 'C-S-H', 'C-S-H', 'silica fume', 'C-S-H', 'silica fume', 'silica fume', 'silica fume', 'steel', 'concrete']","['microstructure', 'diffusivity', 'nanostructure', 'porosity', 'resistance to diffusion', 'tritiated water diffusion', 'diffusivity', 'diffusivity', 'Ca / Si ratio', 'Ca / Si ratio', 'chloride ion diffusivity', 'diffusivity', 'nanostructure', 'diffusivity', 'diffusivity', 'capillary porosity', 'chloride ion diffusion', 'service life']","['paste', 'reinforced']","['cement hydration', 'microstructural model', 'NIST model', 'hydration model']",[]
61,S0008884600002659,['smoothed'],['rebar'],"['steel', 'concrete', 'cement', 'C3A', 'cement', 'steel', 'steel', 'concrete', 'cement', 'concrete', 'cement']","['chloride threshold', 'water / cement ratio', 'chloride threshold', 'chloride threshold', 'corrosion potential', 'corrosion current', 'chloride thresholds', 'Cl- / OH- ratio', 'Chloride thresholds', 'Cl- / OH- ratio', 'corrosion rate']","['surface', 'mortar', 'bars', 'ribbed bars']",['corrosion current measurements'],[]
62,S0008884600002660,[],['structural member'],"['concrete', 'cement', 'concrete', 'concrete']","['life span', 'expansion', 'contraction', 'stresses', 'strain fields', 'elastic moduli']","['aggregate', 'bar', 'paste matrix', 'interface']",['2-D stress analysis'],[]
63,S0008884600002672,[],[],['concrete'],['permeability'],[],"['critical voltage of concrete', 'CVC', 'water penetration test', 'ASTM C1202 test', 'NEL test']",[]
64,S0008884600002696,"['combined - alkali - activated', 'curing', 'cured', 'alkali - activated', 'curing', 'hardened']",[],"['slag', 'sodium carbonate', 'slag']","['strength', 'early strength', 'shrinkage cracking', 'flexural', 'compressive strengths']","['paste', 'paste', 'paste', 'solid paste', 'paste']",[],[]
65,S0008884600002702,"['hardened', 'hardened']",[],"['Sikament 92', 'cement', 'cement', 'cement', 'cement', 'Sikament 92']","['freezing behavior', 'workability', 'hydration rate', 'pore structures', 'porosity', 'resistance to freezing']","['paste', 'paste']","['1H spin - lattice relaxation', 'Single Point Imaging', 'SPI', 'MRI']",[]
66,S0008884600002714,['ground granulated blast furnace slag'],[],"['concrete', 'GGBS', 'concrete', 'GGBS', 'fly ash', 'silica fume', 'fly ash', 'silica fume', 'GGBS']","['28-day cementitious efficiency', 'strength efficiency', 'cementitious', 'strength efficiency', 'efficiency factor', 'efficiency factor', 'cementitious', 'strength']","['composites', 'concretes', 'concretes']",[],[]
67,S0008884600002726,"['re-melted', 'rotary furnaces', 'water leaching', 'leaching']",['mortar'],"['aluminum', 'cement', 'sand', 'cement', 'cement', 'mortar', 'Sand']","['mineralogical composition', 'mechanical properties', 'fracture surfaces', 'volumetric expansion']","['scrap', 'mortars']","['toxicological analysis', 'chemical analysis', 'SEM']",[]
68,S0008884600002738,"['drying', 'drying', 'curing']",['repair materials'],"['cement', 'concrete']","['water - to - cement ( w / c ) ratio', 'w / c ratio', 'w / c ratio', 'dense', 'w / c ratio', 'denser', 'capillary forces', 'w / c ratio']","['paste', 'surface', 'Layered', 'paste', 'paste', 'paste', 'paste', 'surface', 'layered', 'layer', 'composite']","['X-ray absorption', 'mass measurements']",[]
69,S000888460000274X,"['fluidized bed kiln', 'granulating', 'sintering']","['Clinkers', 'rotary kiln clinkers']","['CaO', 'limestone', 'siliceous', 'CaO', 'calcium silicate']",['adhesion'],"['cluster', 'particles', 'particles']",[],['Clinker']
70,S0008884600002751,[],"['grout', 'sealing boreholes', 'geothermal heat pumps', 'GHPs', 'grout', 'pipes', 'heat exchanger']","['cement', 'sand', 'bentonite', 'cements', 'polyethylene', 'HDPE', 'cement', 'sand', 'cements', 'HDPE', 'cement', 'sand', 'HDPE']","['Hydraulic conductivities', 'permeability coefficients', 'high density', 'hydraulic conductivity', 'sealing capability', 'Mechanical properties', 'bond strength', 'compressive', 'splitting tensile strength', 'dynamic and static elastic moduli', 'shear modulus', ""Poisson 's ratio""]","['superplasticized', 'grout', 'pipes', 'grout']",['Infiltration tests'],[]
71,S0008884600002775,[],[],"['steel', 'mortar', 'sulfoaluminate cement', 'Ordinary Portland Cement', 'OPC', 'steel', 'sulfoaluminate cement', 'steel']","['corrosion resistance', 'non-expansive', 'WL', 'half cell potential', 'HCP', 'porosity', 'corrosion effect']",[],['Pore solution extraction'],[]
72,S0008884600002799,"['hardened', 'drying', 'gentle drying']",[],"['cement', 'hcp', 'cement', 'Cement', 'C-S-H']","['creep', 'creep']","['paste', 'paste', 'paste', 'sheets']","['differential thermogravimetric technique', 'creep']",[]
