,caption,tables,Label,text,pred_0,pred_1,pred_2,all_pred,pii_tid,pii,date
462,Mineral composition of sulfoaluminate cement clinker (wt%).,"[['C4A3   S -', 'b-C2S', 'C4AF', 'f-SO3', 'f-CaO', 'CaO-TiO2'], ['74.54', '18.25', '3.86', '0.81', '2.02', '3.01']]",1,"Mineral composition of sulfoaluminate cement clinker (wt%).;[['C4A3   S -', 'b-C2S', 'C4AF', 'f-SO3', 'f-CaO', 'CaO-TiO2'], ['74.54', '18.25', '3.86', '0.81', '2.02', '3.01']]",1,1,1,3,S0008884623002442_1,S0008884623002442,2023-09-14
463,"Chemical composition, mineralogy and distribution value of the raw material.","[['PSD (mm)', 'BY clinker', 'Mayenite', 'Anhydrite', 'XRD (wt.-%)', 'BY clinker', 'Mayenite', 'Anhydrite'], ['Dv,10 *', '0.54', '2.77', '0.25', 'b-C2S', '60.3', '-', '-'], ['Dv,50 *', '4.34', '8.49', '8.97', 'C3A', '-', '1.9', '-'], ['Dv,90 *', '15.88', '30.14', '31.75', 'C4A3   S -   ***', '39.4', '-', '-'], ['XRF (wt%)', '', '', '', 'CA', '-', '0.6', '-'], ['SiO2', '18.9', '0.1', '2.5', 'C12A7', '-', '97.5', '-'], ['Al2O3', '20.9', '50.1', '0.6', 'Dolomite', '-', '-', '6.9'], ['Fe2O3', '0.0', '0.1', '0.3', 'Portlandite', '-', '-', '0.1'], ['CaO', '53.2', '47.6', '38.7', 'Gypsum', '-', '-', '2.5'], ['MgO', '0.1', '-', '1.9', 'Free Lime', '0.3', '-', '-'], ['SO3', '6.3', '0.1', '52.2', 'Anhydrite', '-', '-', '77.7'], ['K2O', '-', '-', '0.2', 'Quartz', '-', '-', '2.3'], ['Na2O', '0.1', '0.1', '0.1', 'Rutile', '-', '-', '1.2'], ['Others', '0.0', '0.0', '0.2', 'Muscovite', '-', '-', '8.5'], ['LOI**', '0.6', '1.2', '3.4', 'Cristobalite', '-', '-', '0.7'], ['SUM', '100.1', '99.4', '100.2', 'SUM', '100.0', '100.0', '99.9']]",1,"Chemical composition, mineralogy and distribution value of the raw material.;[['PSD (mm)', 'BY clinker', 'Mayenite', 'Anhydrite', 'XRD (wt.-%)', 'BY clinker', 'Mayenite', 'Anhydrite'], ['Dv,10 *', '0.54', '2.77', '0.25', 'b-C2S', '60.3', '-', '-'], ['Dv,50 *', '4.34', '8.49', '8.97', 'C3A', '-', '1.9', '-'], ['Dv,90 *', '15.88', '30.14', '31.75', 'C4A3   S -   ***', '39.4', '-', '-'], ['XRF (wt%)', '', '', '', 'CA', '-', '0.6', '-'], ['SiO2', '18.9', '0.1', '2.5', 'C12A7', '-', '97.5', '-'], ['Al2O3', '20.9', '50.1', '0.6', 'Dolomite', '-', '-', '6.9'], ['Fe2O3', '0.0', '0.1', '0.3', 'Portlandite', '-', '-', '0.1'], ['CaO', '53.2', '47.6', '38.7', 'Gypsum', '-', '-', '2.5'], ['MgO', '0.1', '-', '1.9', 'Free Lime', '0.3', '-', '-'], ['SO3', '6.3', '0.1', '52.2', 'Anhydrite', '-', '-', '77.7'], ['K2O', '-', '-', '0.2', 'Quartz', '-', '-', '2.3'], ['Na2O', '0.1', '0.1', '0.1', 'Rutile', '-', '-', '1.2'], ['Others', '0.0', '0.0', '0.2', 'Muscovite', '-', '-', '8.5'], ['LOI**', '0.6', '1.2', '3.4', 'Cristobalite', '-', '-', '0.7'], ['SUM', '100.1', '99.4', '100.2', 'SUM', '100.0', '100.0', '99.9']]",1,1,1,3,S0008884623002533_0,S0008884623002533,2023-10-11
464,The phase composition of the OPC and CSA (mass %).,"[['Anhydrous phase', 'Cement notation', 'OPC', 'CSA'], [""Ye'elimite"", 'C4A3   S -', '', '17.1'], ['Alite', 'C3S', '62.6', ''], ['Belite', 'C2S', '14.4', '25.2'], ['Aluminate', 'C3A', '7.8', ''], ['Ferrite', 'C4AF', '9.3', '0.9'], ['Gypsum', 'CaSO4*2H2O', '2.9', '5.1'], ['Anhydrite', 'CaSO4', '1.4', '39.9'], ['Bassanite', 'CaSO4*0.5H2O', '', '12.4'], ['Calcite', 'CaCO3', '6.6', '']]",1,"The phase composition of the OPC and CSA (mass %).;[['Anhydrous phase', 'Cement notation', 'OPC', 'CSA'], [""Ye'elimite"", 'C4A3   S -', '', '17.1'], ['Alite', 'C3S', '62.6', ''], ['Belite', 'C2S', '14.4', '25.2'], ['Aluminate', 'C3A', '7.8', ''], ['Ferrite', 'C4AF', '9.3', '0.9'], ['Gypsum', 'CaSO4*2H2O', '2.9', '5.1'], ['Anhydrite', 'CaSO4', '1.4', '39.9'], ['Bassanite', 'CaSO4*0.5H2O', '', '12.4'], ['Calcite', 'CaCO3', '6.6', '']]",1,1,1,3,S0008884621002295_1,S0008884621002295,2021-08-20
465,"Mineralogical composition of cements (in wt%), determined by X-ray diffraction (PANalytical X'Pert PRO, Co tube, 40 KV, 40 mA, 7-80deg, step size 0.017deg) and subsequent Rietveld analysis. Note the composition refers only to the crystalline phases present in the cements.","[['', 'CSA 1', 'CSA 2', 'CA', 'CEM III/B 42.5 N'], [""Ye'elemite (C4A3$)"", '54.3', '41.8', '', ''], ['Monocalcium aluminate (CA)', '', '', '52.5', ''], ['Mayenite (C12A7)', '', '', '3.2', ''], ['Tricalcium aluminate (C3A)', '', '', '', '1.8'], ['Alite (C3S)', '', '', '', '49.5'], ['Belite (C2S)', '29.1', '22.4', '9.1', '12.8'], ['Merwinite (C3MS)', '4.5', '3.5', '', ''], ['Anhydrite (C$)', '0.4', '18.3', '', '19.6'], ['Gypsum (C$.2H)', '', '', '', '5.7'], ['Free lime (C)', '0.2', '0.1', '', ''], ['Quartz (S)', '', '', '', '2.1'], ['Iron (III) oxide (F)', '1.0', '0.8', '', ''], ['Magnetite Fe3O4', '', '', '6.4', ''], ['Perovskite (CT/C3FT)', '9.3', '7.2', '7.4', ''], ['Ferrite (C4AF/C6AF2)', '1.2', '0.9', '14.2', '8.7'], ['Gehlenite (C2AS)', '', '', '7.1', ''], ['Calcite (Cc)', '', '5.0', '', '']]",1,"Mineralogical composition of cements (in wt%), determined by X-ray diffraction (PANalytical X'Pert PRO, Co tube, 40 KV, 40 mA, 7-80deg, step size 0.017deg) and subsequent Rietveld analysis. Note the composition refers only to the crystalline phases present in the cements.;[['', 'CSA 1', 'CSA 2', 'CA', 'CEM III/B 42.5 N'], [""Ye'elemite (C4A3$)"", '54.3', '41.8', '', ''], ['Monocalcium aluminate (CA)', '', '', '52.5', ''], ['Mayenite (C12A7)', '', '', '3.2', ''], ['Tricalcium aluminate (C3A)', '', '', '', '1.8'], ['Alite (C3S)', '', '', '', '49.5'], ['Belite (C2S)', '29.1', '22.4', '9.1', '12.8'], ['Merwinite (C3MS)', '4.5', '3.5', '', ''], ['Anhydrite (C$)', '0.4', '18.3', '', '19.6'], ['Gypsum (C$.2H)', '', '', '', '5.7'], ['Free lime (C)', '0.2', '0.1', '', ''], ['Quartz (S)', '', '', '', '2.1'], ['Iron (III) oxide (F)', '1.0', '0.8', '', ''], ['Magnetite Fe3O4', '', '', '6.4', ''], ['Perovskite (CT/C3FT)', '9.3', '7.2', '7.4', ''], ['Ferrite (C4AF/C6AF2)', '1.2', '0.9', '14.2', '8.7'], ['Gehlenite (C2AS)', '', '', '7.1', ''], ['Calcite (Cc)', '', '5.0', '', '']]",1,1,1,3,S0008884621002337_2,S0008884621002337,2021-09-02
466,Chemical composition of the binder materials.,"[['', 'PC', 'SG', 'FA', 'SF', 'MK'], ['SiO2 (%)', '20.10', '36.64', '56.31', '92.86', '52.48'], ['Al2O3 (%)', '5.03', '11.14', '23.27', '0.05', '44.35'], ['CaO (%)', '61.93', '37.32', '10.29', '0.62', '0.12'], ['Fe2O3 (%)', '3.80', '0.40', '3.57', '0.12', '0.61'], ['SO3 (%)', '3.38', '0.37', '0.19', '0.07', '0.04'], ['MgO (%)', '2.42', '12.15', '1.07', '0.19', '0.08'], ['Na2Oeq (%)', '0.91', '0.63', '3.17', '0.52', '0.38'], ['C3S (%)', '43.24', '-', '-', '-', '-'], ['C2S (%)', '25.02', '-', '-', '-', '-'], ['C3A (%)', '6.90', '-', '-', '-', '-'], ['C4AF (%)', '11.56', '-', '-', '-', '-'], ['Specific gravity', '3.12', '2.91', '2.01', '2.20', '2.29'], ['Lost on ignition (%)', '2.91', '0.49', '0.98', '5.05', '0.69']]",1,"Chemical composition of the binder materials.;[['', 'PC', 'SG', 'FA', 'SF', 'MK'], ['SiO2 (%)', '20.10', '36.64', '56.31', '92.86', '52.48'], ['Al2O3 (%)', '5.03', '11.14', '23.27', '0.05', '44.35'], ['CaO (%)', '61.93', '37.32', '10.29', '0.62', '0.12'], ['Fe2O3 (%)', '3.80', '0.40', '3.57', '0.12', '0.61'], ['SO3 (%)', '3.38', '0.37', '0.19', '0.07', '0.04'], ['MgO (%)', '2.42', '12.15', '1.07', '0.19', '0.08'], ['Na2Oeq (%)', '0.91', '0.63', '3.17', '0.52', '0.38'], ['C3S (%)', '43.24', '-', '-', '-', '-'], ['C2S (%)', '25.02', '-', '-', '-', '-'], ['C3A (%)', '6.90', '-', '-', '-', '-'], ['C4AF (%)', '11.56', '-', '-', '-', '-'], ['Specific gravity', '3.12', '2.91', '2.01', '2.20', '2.29'], ['Lost on ignition (%)', '2.91', '0.49', '0.98', '5.05', '0.69']]",1,1,1,3,S000888462300176X_1,S000888462300176X,2023-07-14
467,Quantitative XRD Rietveld analysis of the Portland cement used in this study. All the phases listen in this table were considered reactive for the mass balance.,"[['Mineral', 'Portland cement'], ['Mineral', '[wt%]'], ['Alite - C3S', '60.4'], ['Belite - C2S', '14.4'], ['Aluminate - C3A', '7.7'], ['Ferrite - C4AF', '8.8'], ['Arcanite', '0.2'], ['Aphthitalite', '1.5'], ['Ca-Langbeinite', '0.2'], ['Periclase', '1.2'], ['Lime', '0.4'], ['Portlandite', '0.6'], ['Sum of clinker phases', '95.5'], ['Anhydrite', '0.8'], ['Bassanite', '2.9'], ['Gypsum', '0.4'], ['Sum of set regulators', '4.1'], ['Calcite', '0.4'], ['Sum', '100.0']]",1,"Quantitative XRD Rietveld analysis of the Portland cement used in this study. All the phases listen in this table were considered reactive for the mass balance.;[['Mineral', 'Portland cement'], ['Mineral', '[wt%]'], ['Alite - C3S', '60.4'], ['Belite - C2S', '14.4'], ['Aluminate - C3A', '7.7'], ['Ferrite - C4AF', '8.8'], ['Arcanite', '0.2'], ['Aphthitalite', '1.5'], ['Ca-Langbeinite', '0.2'], ['Periclase', '1.2'], ['Lime', '0.4'], ['Portlandite', '0.6'], ['Sum of clinker phases', '95.5'], ['Anhydrite', '0.8'], ['Bassanite', '2.9'], ['Gypsum', '0.4'], ['Sum of set regulators', '4.1'], ['Calcite', '0.4'], ['Sum', '100.0']]",1,1,1,3,S0008884623001977_1,S0008884623001977,2023-08-09
468,"Quantitative XRD Rietveld analysis of the limestone, fly ash (FA) and volcanic pozzolan (VP) used in this study. Also indicated is which phases are considered reactive in the mass balance. Phases marked with * are solid solutions with varying composition, but the average composition used for the mass balance is given in the table.","[['Mineral', 'Chemical composition', 'Reactive in mass balance?', 'Limestone', 'FA', 'VP'], ['Mineral', 'Chemical composition', 'Reactive in mass balance?', '[wt%]', '[wt%]', '[wt%]'], ['Calcite', 'CaCO3', 'Yes', '78.1', '0.2', '-'], ['Belite - C2S', 'Ca2SiO4', 'Yes', '-', '0.8', ''], ['Gypsum', 'CaSO4*2H2O', 'Yes', '0.8', '-', '-'], ['Periclase', 'MgO', 'Yes', '-', '1.0', '-'], ['Lime', 'CaO', 'Yes', '-', '0.4', '-'], ['Portlandite', 'Ca(OH)2', 'Yes', '-', '-', '-'], ['Anhydrite', 'CaSO4', 'Yes', '0.8', '-', '-'], ['Mullite', 'Al6Si2O13', 'No', '-', '7.0', '-'], ['Quartz', 'SiO2', 'No', '5.0', '5.9', '-'], ['Maghemite', 'Fe2O3', 'No', '-', '1.6', '-'], ['Hematite', 'Fe2O3', 'No', '', '0.5', ''], ['Anatase', 'TiO2', 'No', '-', '0.3', '-'], ['Microcline', 'KAlSi3O8', 'No', '2.3', '-', '-'], ['Sanidine*', '(K0.5,Na0.5)Al(Al0.5,Si0.5)Si2O8', 'No', '1.3', '-', ''], ['Anorthite', 'CaAl2Si2O8', 'No', '5.2', '-', '-'], ['Augite*', '(Ca0.5,Fe0.5)(Mg0.5,Fe0.5)Si2O6', 'No', '1.9', '-', '2.8'], ['Diopside*', 'Ca(Mg0.5, Fe0.5)Si2O6', 'No', '1.9', '-', '2.8'], ['Amphibole*', 'Ca2(Mg0.5,Fe+2 0.5)4 Al(Si7Al)O22(OH0.5, F0.5)2', 'No', '1.2', '-', '-'], ['Clinochlore*', '(Mg0.5,Fe0.5)6 (Si0.5, Al0.5)4O10(OH)8', 'No', '0.7', '-', '-'], ['Biotite (mica)*', 'K(Fe0.5,Mg0.5)2 (Si3AlO10)(OH)2', 'No', '1.3', '-', '-'], ['Aegirine', 'NaFeSi2O6', 'No', '-', '-', '1.1'], ['Forsterite', 'Mg2SiO4', 'No', '-', '-', '5.0'], ['Albite', 'NaAlSi3O8', 'No', '-', '-', '5.1'], ['Montmorillonite*', 'Ca0.2(Al0.5,Mg0.5)2 Si4O10(OH)2*H2O', 'No', '0.3', '-', '-'], ['Amorphous', '-', 'Yes', '-', '82.3', '83.2'], ['Sum', '-', '-', '100.8', '99.9', '100.0']]",1,"Quantitative XRD Rietveld analysis of the limestone, fly ash (FA) and volcanic pozzolan (VP) used in this study. Also indicated is which phases are considered reactive in the mass balance. Phases marked with * are solid solutions with varying composition, but the average composition used for the mass balance is given in the table.;[['Mineral', 'Chemical composition', 'Reactive in mass balance?', 'Limestone', 'FA', 'VP'], ['Mineral', 'Chemical composition', 'Reactive in mass balance?', '[wt%]', '[wt%]', '[wt%]'], ['Calcite', 'CaCO3', 'Yes', '78.1', '0.2', '-'], ['Belite - C2S', 'Ca2SiO4', 'Yes', '-', '0.8', ''], ['Gypsum', 'CaSO4*2H2O', 'Yes', '0.8', '-', '-'], ['Periclase', 'MgO', 'Yes', '-', '1.0', '-'], ['Lime', 'CaO', 'Yes', '-', '0.4', '-'], ['Portlandite', 'Ca(OH)2', 'Yes', '-', '-', '-'], ['Anhydrite', 'CaSO4', 'Yes', '0.8', '-', '-'], ['Mullite', 'Al6Si2O13', 'No', '-', '7.0', '-'], ['Quartz', 'SiO2', 'No', '5.0', '5.9', '-'], ['Maghemite', 'Fe2O3', 'No', '-', '1.6', '-'], ['Hematite', 'Fe2O3', 'No', '', '0.5', ''], ['Anatase', 'TiO2', 'No', '-', '0.3', '-'], ['Microcline', 'KAlSi3O8', 'No', '2.3', '-', '-'], ['Sanidine*', '(K0.5,Na0.5)Al(Al0.5,Si0.5)Si2O8', 'No', '1.3', '-', ''], ['Anorthite', 'CaAl2Si2O8', 'No', '5.2', '-', '-'], ['Augite*', '(Ca0.5,Fe0.5)(Mg0.5,Fe0.5)Si2O6', 'No', '1.9', '-', '2.8'], ['Diopside*', 'Ca(Mg0.5, Fe0.5)Si2O6', 'No', '1.9', '-', '2.8'], ['Amphibole*', 'Ca2(Mg0.5,Fe+2 0.5)4 Al(Si7Al)O22(OH0.5, F0.5)2', 'No', '1.2', '-', '-'], ['Clinochlore*', '(Mg0.5,Fe0.5)6 (Si0.5, Al0.5)4O10(OH)8', 'No', '0.7', '-', '-'], ['Biotite (mica)*', 'K(Fe0.5,Mg0.5)2 (Si3AlO10)(OH)2', 'No', '1.3', '-', '-'], ['Aegirine', 'NaFeSi2O6', 'No', '-', '-', '1.1'], ['Forsterite', 'Mg2SiO4', 'No', '-', '-', '5.0'], ['Albite', 'NaAlSi3O8', 'No', '-', '-', '5.1'], ['Montmorillonite*', 'Ca0.2(Al0.5,Mg0.5)2 Si4O10(OH)2*H2O', 'No', '0.3', '-', '-'], ['Amorphous', '-', 'Yes', '-', '82.3', '83.2'], ['Sum', '-', '-', '100.8', '99.9', '100.0']]",1,1,1,3,S0008884623001977_2,S0008884623001977,2023-08-09
469,"Composition of the clinker minerals used in the mass balance calculations (step III in Fig. 3). The values were based on those from Taylor [6], but adjusted to fit the XRF and QXRD results from the cement used in this study. The most notable changes are increased SO3 content in alite and belite.","[['Oxide', 'Alite C3S', 'Belite C2S', 'Aluminate C3A', 'Ferrite C4AF'], ['Oxide', '[wt%]', '[wt%]', '[wt%]', '[wt%]'], ['CaO', '71.90', '62.83', '59.40', '44.62'], ['SiO2', '24.13', '31.11', '3.70', '3.60'], ['Al2O3', '0.97', '2.07', '27.40', '19.71'], ['Fe2O3', '0.73', '0.91', '5.27', '24.90'], ['MgO', '1.02', '0.50', '1.38', '2.92'], ['SO3', '0.81', '0.88', '0.00', '0.00'], ['Na2O', '0.16', '0.12', '1.81', '0.11'], ['K2O', '0.12', '1.23', '0.81', '0.21'], ['P2O5', '0.16', '0.11', '0.00', '0.00'], ['TiO2', '0.00', '0.24', '0.22', '3.26'], ['Mn2O3', '0.00', '0.00', '0.00', '0.68'], ['Sum', '100.00', '100.00', '100.00', '100.00']]",1,"Composition of the clinker minerals used in the mass balance calculations (step III in Fig. 3). The values were based on those from Taylor [6], but adjusted to fit the XRF and QXRD results from the cement used in this study. The most notable changes are increased SO3 content in alite and belite.;[['Oxide', 'Alite C3S', 'Belite C2S', 'Aluminate C3A', 'Ferrite C4AF'], ['Oxide', '[wt%]', '[wt%]', '[wt%]', '[wt%]'], ['CaO', '71.90', '62.83', '59.40', '44.62'], ['SiO2', '24.13', '31.11', '3.70', '3.60'], ['Al2O3', '0.97', '2.07', '27.40', '19.71'], ['Fe2O3', '0.73', '0.91', '5.27', '24.90'], ['MgO', '1.02', '0.50', '1.38', '2.92'], ['SO3', '0.81', '0.88', '0.00', '0.00'], ['Na2O', '0.16', '0.12', '1.81', '0.11'], ['K2O', '0.12', '1.23', '0.81', '0.21'], ['P2O5', '0.16', '0.11', '0.00', '0.00'], ['TiO2', '0.00', '0.24', '0.22', '3.26'], ['Mn2O3', '0.00', '0.00', '0.00', '0.68'], ['Sum', '100.00', '100.00', '100.00', '100.00']]",1,1,1,3,S0008884623001977_5,S0008884623001977,2023-08-09
470,Mineral composition characteristics of carbonatable clinkers under pilot test.,"[['Major mineral', 'Major mineral', 'g-C2S [48]', 'C3S2 [14]', 'CS [13]'], ['Ca/Si ratio', 'Ca/Si ratio', '1.9', '1.5', '1.2'], ['Mineral composition', 'g-C2S', '85.1', '12.8', '-'], ['Mineral composition', 'C3S2', '9.5', '50.0', '13.1'], ['Mineral composition', 'CS', '-', '3.0', '51.0'], ['Mineral composition', 'b-C2S', '1.1', '2.1', '2.7'], ['Mineral composition', 'C2AS', '2.8', '24.7', '-'], ['Mineral composition', 'C3A', '-', '-', '-'], ['Mineral composition', 'C4AF', '-', '-', '0.6'], ['Mineral composition', 'Amorphous', '1.5', '-', '24.4'], ['Mineral composition', 'f-CaO', '<0.5', '<1.0', '0.4'], ['Mineral composition', 'SiO2', '-', '1.0', '1.9'], ['Sintering temperature', 'Sintering temperature', '1350-1375 degC', '1260-1320 degC', '1250 degC']]",1,"Mineral composition characteristics of carbonatable clinkers under pilot test.;[['Major mineral', 'Major mineral', 'g-C2S [48]', 'C3S2 [14]', 'CS [13]'], ['Ca/Si ratio', 'Ca/Si ratio', '1.9', '1.5', '1.2'], ['Mineral composition', 'g-C2S', '85.1', '12.8', '-'], ['Mineral composition', 'C3S2', '9.5', '50.0', '13.1'], ['Mineral composition', 'CS', '-', '3.0', '51.0'], ['Mineral composition', 'b-C2S', '1.1', '2.1', '2.7'], ['Mineral composition', 'C2AS', '2.8', '24.7', '-'], ['Mineral composition', 'C3A', '-', '-', '-'], ['Mineral composition', 'C4AF', '-', '-', '0.6'], ['Mineral composition', 'Amorphous', '1.5', '-', '24.4'], ['Mineral composition', 'f-CaO', '<0.5', '<1.0', '0.4'], ['Mineral composition', 'SiO2', '-', '1.0', '1.9'], ['Sintering temperature', 'Sintering temperature', '1350-1375 degC', '1260-1320 degC', '1250 degC']]",1,1,1,3,S0008884623002004_2,S0008884623002004,2023-08-04
471,XRD analysis of the applied cement (%).,"[['C3S', 'C2S', 'C3A', 'C4AF', 'Gypsum', 'Anhydrite', 'Calcite'], ['64.5', '8.4', '6.2', '10.8', '7.5', '1.1', '1.4']]",1,"XRD analysis of the applied cement (%).;[['C3S', 'C2S', 'C3A', 'C4AF', 'Gypsum', 'Anhydrite', 'Calcite'], ['64.5', '8.4', '6.2', '10.8', '7.5', '1.1', '1.4']]",1,1,1,3,S0008884621001721_0,S0008884621001721,2021-10-19
472,Chemical composition of raw materials.,"[['', 'OPC', 'Clay', 'Limestone', 'Gypsum'], ['D50 (mm)', '8.4', '8.6', '4.9', '-'], ['Chemical composition (%)', '', '', '', ''], ['CaO', '63.6', '0.1', '54.9', '32.6'], ['SiO2', '19.3', '53.5', '0.1', ''], ['Al2O3', '5.7', '34.9', '', ''], ['Fe2O3', '3.6', '3.4', '', ''], ['MgO', '1.6', '0.1', '0.1', ''], ['Na2O', '0.2', '0.2', '0.1', ''], ['K2O', '1.2', '0.2', '', ''], ['SO3', '3.2', '', '', '46.5'], ['TiO2', '0.3', '2.4', '', ''], ['P2O5', '0.2', '0.2', '', ''], ['CO2', '', '', '44.0', ''], ['LOI', '', '', '', ''], ['Mineral composition (%)', '', '', '', ''], ['C3S', '68.2', '', '', ''], ['C2S', '6.8', '', '', ''], ['C3A', '8.4', '', '', ''], ['C4AF', '11.4', '', '', ''], ['Lime', '0.37', '', '', ''], ['Anhydrite', '4.93', '', '', ''], ['Metakaolin', '', '47.0', '', ''], ['Haematite', '', '10.0', '', ''], ['Anatase', '', '0.6', '', ''], ['Mullite', '', '1.2', '', ''], ['Quartz', '', '0.8', '', ''], ['Amorphous', '', '40.9', '', '']]",1,"Chemical composition of raw materials.;[['', 'OPC', 'Clay', 'Limestone', 'Gypsum'], ['D50 (mm)', '8.4', '8.6', '4.9', '-'], ['Chemical composition (%)', '', '', '', ''], ['CaO', '63.6', '0.1', '54.9', '32.6'], ['SiO2', '19.3', '53.5', '0.1', ''], ['Al2O3', '5.7', '34.9', '', ''], ['Fe2O3', '3.6', '3.4', '', ''], ['MgO', '1.6', '0.1', '0.1', ''], ['Na2O', '0.2', '0.2', '0.1', ''], ['K2O', '1.2', '0.2', '', ''], ['SO3', '3.2', '', '', '46.5'], ['TiO2', '0.3', '2.4', '', ''], ['P2O5', '0.2', '0.2', '', ''], ['CO2', '', '', '44.0', ''], ['LOI', '', '', '', ''], ['Mineral composition (%)', '', '', '', ''], ['C3S', '68.2', '', '', ''], ['C2S', '6.8', '', '', ''], ['C3A', '8.4', '', '', ''], ['C4AF', '11.4', '', '', ''], ['Lime', '0.37', '', '', ''], ['Anhydrite', '4.93', '', '', ''], ['Metakaolin', '', '47.0', '', ''], ['Haematite', '', '10.0', '', ''], ['Anatase', '', '0.6', '', ''], ['Mullite', '', '1.2', '', ''], ['Quartz', '', '0.8', '', ''], ['Amorphous', '', '40.9', '', '']]",1,1,1,3,S0008884621001769_0,S0008884621001769,2021-06-30
473,"Composition of the mineralogical phase composition predicted by modified Bogue's equations, wt%.","[['Target mineralogical phases', 'C2S', 'C4A3$', 'C4AF', 'C$', 'Sum'], ['wt%', '39.6', '39.2', '17.2', '0.2', '96.2']]",1,"Composition of the mineralogical phase composition predicted by modified Bogue's equations, wt%.;[['Target mineralogical phases', 'C2S', 'C4A3$', 'C4AF', 'C$', 'Sum'], ['wt%', '39.6', '39.2', '17.2', '0.2', '96.2']]",1,1,1,3,S0008884621001782_2,S0008884621001782,2021-06-30
